year,age_group,state,donations
2010,45-49,Negeri Sembilan,189
2010,45-49,Pahang,46
2010,45-49,Perak,631
2010,45-49,Pulau Pinang,0
2010,45-49,Sabah,369
2010,45-49,Sarawak,363
2010,45-49,Selangor,696
2010,45-49,Terengganu,143
2010,45-49,W.P. Kuala Lumpur,2312
2010,50-54,Johor,514
2010,50-54,Kedah,452
2010,50-54,Kelantan,128
2010,50-54,Malaysia,3869
2010,50-54,Melaka,282
2010,50-54,Negeri Sembilan,104
2010,50-54,Pahang,15
2010,50-54,Perak,319
2010,50-54,Pulau Pinang,0
2010,50-54,Sabah,191
2010,50-54,Sarawak,177
2010,50-54,Selangor,356
2010,50-54,Terengganu,66
2010,50-54,W.P. Kuala Lumpur,1265
2010,55-59,Johor,164
2010,55-59,Kedah,200
2010,55-59,Kelantan,48
2010,55-59,Malaysia,1447
2010,55-59,Melaka,131
2010,55-59,Negeri Sembilan,45
2010,55-59,Pahang,14
2010,55-59,Perak,119
2010,55-59,Pulau Pinang,0
2010,55-59,Sabah,80
2010,55-59,Sarawak,61
2010,55-59,Selangor,138
2010,55-59,Terengganu,18
2010,55-59,W.P. Kuala Lumpur,429
2010,60-64,Johor,18
2010,60-64,Kedah,16
2010,60-64,Kelantan,4
2010,60-64,Malaysia,155
2010,60-64,Melaka,16
2010,60-64,Negeri Sembilan,2
2010,60-64,Pahang,0
2010,60-64,Perak,6
2010,60-64,Pulau Pinang,0
2010,60-64,Sabah,13
2010,60-64,Sarawak,1
2010,60-64,Selangor,32
2010,60-64,Terengganu,1
2010,60-64,W.P. Kuala Lumpur,46
2011,17-24,Johor,4682
2011,17-24,Kedah,12906
2011,17-24,Kelantan,4108
2011,17-24,Malaysia,86886
2011,17-24,Melaka,6511
2011,17-24,Negeri Sembilan,3458
2011,17-24,Pahang,2266
2011,17-24,Perak,8847
2011,17-24,Pulau Pinang,0
2011,17-24,Sabah,4388
2011,17-24,Sarawak,2028
2011,17-24,Selangor,4988
2011,17-24,Terengganu,4986
2011,17-24,W.P. Kuala Lumpur,27718
2011,25-29,Johor,2618
2011,25-29,Kedah,2385
2011,25-29,Kelantan,541
2011,25-29,Malaysia,25733
2011,25-29,Melaka,1453
2011,25-29,Negeri Sembilan,811
2011,25-29,Pahang,598
2011,25-29,Perak,1558
2011,25-29,Pulau Pinang,0
2011,25-29,Sabah,1430
2011,25-29,Sarawak,720
2011,25-29,Selangor,1938
2011,25-29,Terengganu,601
2011,25-29,W.P. Kuala Lumpur,11080
2011,30-34,Johor,2057
2011,30-34,Kedah,1569
2011,30-34,Kelantan,313
2011,30-34,Malaysia,17511
2011,30-34,Melaka,968
2011,30-34,Negeri Sembilan,590
2011,30-34,Pahang,487
2011,30-34,Perak,1087
2011,30-34,Pulau Pinang,0
2011,30-34,Sabah,899
2011,30-34,Sarawak,523
2011,30-34,Selangor,1449
2011,30-34,Terengganu,326
2011,30-34,W.P. Kuala Lumpur,7243
2011,35-39,Johor,1670
2011,35-39,Kedah,1370
2011,35-39,Kelantan,294
2011,35-39,Malaysia,13168
2011,35-39,Melaka,669
2011,35-39,Negeri Sembilan,435
2011,35-39,Pahang,408
2011,35-39,Perak,892
2011,35-39,Pulau Pinang,0
2011,35-39,Sabah,563
2011,35-39,Sarawak,448
2011,35-39,Selangor,1228
2011,35-39,Terengganu,199
2011,35-39,W.P. Kuala Lumpur,4992
2011,40-44,Johor,1270
2011,40-44,Kedah,1120
2011,40-44,Kelantan,242
2011,40-44,Malaysia,9980
2011,40-44,Melaka,587
2011,40-44,Negeri Sembilan,325
2011,40-44,Pahang,352
2011,40-44,Perak,746
2011,40-44,Pulau Pinang,0
2011,40-44,Sabah,491
2011,40-44,Sarawak,358
2011,40-44,Selangor,969
